2026-01-03 09:14:47,708 | INFO | Bronze layer ingestion started
2026-01-03 09:14:47,734 | INFO | Copied file: investor_master.csv
2026-01-03 09:14:47,754 | INFO | Copied file: portfolio_transactions.csv
2026-01-03 09:14:47,794 | INFO | Copied file: stock_prices.csv
2026-01-03 09:14:47,794 | INFO | Bronze layer completed successfully. Files copied: 3
2026-01-04 05:06:12,113 | INFO | Bronze layer ingestion started
2026-01-04 05:06:12,179 | INFO | Copied file: investor_master.csv
2026-01-04 05:06:12,271 | INFO | Copied file: portfolio_transactions.csv
2026-01-04 05:06:12,377 | INFO | Copied file: stock_prices.csv
2026-01-04 05:06:12,380 | INFO | Bronze layer completed successfully. Files copied: 3
2026-01-04 05:12:23,985 | INFO | Bronze layer ingestion started
2026-01-04 05:12:24,023 | INFO | Copied file: investor_master.csv
2026-01-04 05:12:24,046 | INFO | Copied file: portfolio_transactions.csv
2026-01-04 05:12:24,079 | INFO | Copied file: stock_prices.csv
2026-01-04 05:12:24,079 | INFO | Bronze layer completed successfully. Files copied: 3
2026-01-04 05:20:03,629 | INFO | Bronze layer ingestion started
2026-01-04 05:20:03,715 | INFO | Copied file: investor_master.csv
2026-01-04 05:20:03,769 | INFO | Copied file: portfolio_transactions.csv
2026-01-04 05:20:03,812 | INFO | Copied file: stock_prices.csv
2026-01-04 05:20:03,813 | INFO | Bronze layer completed successfully. Files copied: 3
2026-01-04 05:30:34,951 | INFO | Bronze layer ingestion started
2026-01-04 05:30:34,978 | INFO | Copied file: investor_master.csv
2026-01-04 05:30:34,997 | INFO | Copied file: portfolio_transactions.csv
2026-01-04 05:30:35,025 | INFO | Copied file: stock_prices.csv
2026-01-04 05:30:35,025 | INFO | Bronze layer completed successfully. Files copied: 3
2026-01-04 05:49:42,463 | INFO | Bronze layer ingestion started
2026-01-04 05:49:42,481 | INFO | Copied file: investor_master.csv
2026-01-04 05:49:42,501 | INFO | Copied file: portfolio_transactions.csv
2026-01-04 05:49:42,526 | INFO | Copied file: stock_prices.csv
